KO,2020-02-15T14:41:23.150Z,
KO,2020-02-15T14:42:23.347Z,
KO,2020-02-15T14:43:23.143Z,
Closed,2020-02-15T14:44:23.772Z,
Closed,2020-02-15T14:45:23.721Z,
Closed,2020-02-15T14:46:23.614Z,
KO,2020-02-15T14:47:23.354Z,
KO,2020-02-15T14:48:23.145Z,
Closed,2020-02-15T14:49:23.645Z,
Closed,2020-02-15T14:50:23.863Z,
Closed,2020-02-15T14:51:23.729Z,
Closed,2020-02-15T14:52:23.874Z,
KO,2020-02-15T14:53:23.349Z,
Closed,2020-02-15T14:54:23.636Z,
Closed,2020-02-15T14:55:23.776Z,
Closed,2020-02-15T14:56:23.855Z,
Closed,2020-02-15T14:57:23.647Z,
Closed,2020-02-15T14:58:23.646Z,
Closed,2020-02-15T14:59:23.846Z,
Closed,2020-02-15T15:00:23.956Z,
Closed,2020-02-15T15:01:23.724Z,
Closed,2020-02-15T15:02:23.974Z,
KO,2020-02-15T15:03:23.364Z,
Closed,2020-02-15T15:04:23.994Z,
KO,2020-02-15T15:05:23.370Z,
KO,2020-02-15T15:06:23.347Z,
KO,2020-02-15T15:07:23.563Z,
Closed,2020-02-15T15:08:23.696Z,
Closed,2020-02-15T15:09:23.868Z,
KO,2020-02-15T15:10:23.474Z,
Closed,2020-02-15T15:11:23.678Z,
KO,2020-02-15T15:12:23.162Z,
Closed,2020-02-15T15:13:24.134Z,
Closed,2020-02-15T15:14:23.722Z,
KO,2020-02-15T15:15:23.504Z,
KO,2020-02-15T15:16:23.162Z,
KO,2020-02-15T15:17:23.162Z,
KO,2020-02-15T15:18:23.158Z,
KO,2020-02-15T15:19:23.561Z,
Closed,2020-02-15T15:20:23.938Z,
Closed,2020-02-15T15:21:23.729Z,
KO,2020-02-15T15:22:23.160Z,
Closed,2020-02-15T15:23:23.604Z,
KO,2020-02-15T15:24:23.165Z,
KO,2020-02-15T15:25:23.350Z,
Closed,2020-02-15T15:26:23.859Z,
Closed,2020-02-15T15:27:23.672Z,
KO,2020-02-15T15:28:23.163Z,
KO,2020-02-15T15:29:23.169Z,
KO,2020-02-15T15:30:23.166Z,
KO,2020-02-15T15:31:23.389Z,
KO,2020-02-15T15:32:23.169Z,
KO,2020-02-15T15:33:23.167Z,
KO,2020-02-15T15:34:23.167Z,
Closed,2020-02-15T15:35:23.648Z,
KO,2020-02-15T15:36:23.170Z,
KO,2020-02-15T15:37:23.351Z,
Closed,2020-02-15T15:38:23.659Z,
KO,2020-02-15T15:39:23.167Z,
KO,2020-02-15T15:40:23.170Z,
KO,2020-02-15T15:41:23.169Z,
KO,2020-02-15T15:42:24.360Z,
KO,2020-02-15T15:43:23.170Z,
KO,2020-02-15T15:44:23.174Z,
Closed,2020-02-15T15:45:23.800Z,
Closed,2020-02-15T15:46:23.675Z,
KO,2020-02-15T15:47:23.174Z,
Closed,2020-02-15T15:48:23.876Z,
KO,2020-02-15T15:49:23.172Z,
KO,2020-02-15T15:50:23.168Z,
Closed,2020-02-15T15:51:23.656Z,
Closed,2020-02-15T15:52:23.891Z,
Closed,2020-02-15T15:53:23.678Z,
Closed,2020-02-15T15:54:23.950Z,
Closed,2020-02-15T15:55:24.651Z,
Closed,2020-02-15T15:56:23.701Z,
KO,2020-02-15T15:57:23.176Z,
Closed,2020-02-15T15:58:23.677Z,
Closed,2020-02-15T15:59:23.658Z,
Closed,2020-02-15T16:00:23.904Z,
KO,2020-02-15T16:01:23.175Z,
KO,2020-02-15T16:02:24.181Z,
Closed,2020-02-15T16:03:23.692Z,
KO,2020-02-15T16:04:23.181Z,
Closed,2020-02-15T16:06:05.992Z,
KO,2020-02-15T16:06:23.177Z,
KO,2020-02-15T16:07:57.409Z,
KO,2020-02-15T16:09:42.102Z,
Closed,2020-02-15T16:10:42.660Z,
Closed,2020-02-15T16:11:43.821Z,
Closed,2020-02-15T16:12:42.623Z,
Closed,2020-02-15T16:13:42.550Z,
KO,2020-02-15T16:14:42.099Z,
Closed,2020-02-15T16:15:42.565Z,
Closed,2020-02-15T16:16:42.589Z,
Closed,2020-02-15T16:17:42.846Z,
Closed,2020-02-15T16:18:42.628Z,
KO,2020-02-15T16:19:41.265Z,
Closed,2020-02-15T16:19:42.574Z,
Closed,2020-02-15T16:21:26.686Z,
KO,2020-02-15T16:22:26.400Z,
Closed,2020-02-15T16:23:26.982Z,
KO,2020-02-15T16:24:26.343Z,
KO,2020-02-15T16:25:26.639Z,
KO,2020-02-15T16:27:25.942Z,
KO,2020-02-15T16:28:25.984Z,
Closed,2020-02-15T16:29:26.388Z,
KO,2020-02-15T16:30:25.933Z,
KO,2020-02-15T16:31:25.725Z,
KO,2020-02-15T16:32:25.721Z,
KO,2020-02-15T16:33:25.921Z,
KO,2020-02-15T16:34:25.722Z,
Closed,2020-02-15T16:35:26.876Z,
KO,2020-02-15T16:36:25.948Z,
Closed,2020-02-15T16:37:26.262Z,
Closed,2020-02-15T16:38:26.218Z,
Closed,2020-02-15T16:39:26.502Z,
Closed,2020-02-15T16:40:26.280Z,
KO,2020-02-15T16:41:26.121Z,
KO,2020-02-15T16:42:25.730Z,
KO,2020-02-15T16:43:25.731Z,
KO,2020-02-15T16:44:25.733Z,
Closed,2020-02-15T16:45:26.280Z,
KO,2020-02-15T16:46:25.729Z,
KO,2020-02-15T16:47:25.914Z,
Closed,2020-02-15T16:48:26.313Z,
Closed,2020-02-15T16:49:26.238Z,
Closed,2020-02-15T16:50:26.296Z,
Closed,2020-02-15T16:51:26.249Z,
KO,2020-02-15T16:52:25.736Z,
Closed,2020-02-15T16:53:26.400Z,
KO,2020-02-15T16:54:25.734Z,
Closed,2020-02-15T16:55:26.366Z,
Closed,2020-02-15T16:56:26.719Z,
KO,2020-02-15T16:57:25.939Z,
KO,2020-02-15T16:58:25.969Z,
KO,2020-02-15T16:59:26.115Z,
KO,2020-02-15T17:00:25.939Z,
KO,2020-02-15T17:01:25.733Z,
